Date,Value
2018-10-18 10,19.6299995
2018-10-18 11,18.246666666666666
2018-10-18 12,28.5924995
2018-10-18 13,28.533332666666666
2018-10-18 14,29.1159994
2018-10-18 15,28.3219992
2018-10-18 16,40.0474995
2018-10-18 17,44.0039996
2018-10-18 18,39.4659994
2018-10-18 19,46.459998999999996
2018-10-18 20,50.06999900000001
2018-10-18 21,53.827999
2018-10-18 22,51.317499000000005
2018-10-18 23,52.695999199999996
2018-10-19 00,69.4719986
2018-10-19 01,74.1724965
2018-10-19 02,73.6079986
2018-10-19 03,85.8879974
2018-10-19 04,100.79749675000001
2018-10-19 05,102.3779984
2018-10-19 06,95.8719984
2018-10-19 07,88.9574965
2018-10-19 08,74.515999
2018-10-19 09,59.4179978
2018-10-19 10,51.949998
2018-10-19 11,50.087999
2018-10-19 12,43.133999
2018-10-19 13,41.557500000000005
2018-10-19 14,38.1379986
2018-10-19 15,48.309999
2018-10-19 16,70.60599820000002
2018-10-19 17,81.567497
2018-10-19 18,82.859999
2018-10-19 19,93.147998
2018-10-19 20,96.329998
2018-10-19 21,100.161998
2018-10-19 22,105.7479996
2018-10-19 23,106.8849965
2018-10-20 00,119.0199984
2018-10-20 01,126.0279998
2018-10-20 02,125.02249900000001
2018-10-20 03,120.06199620000002
2018-10-20 04,90.54399860000001
2018-10-20 05,69.54499824999999
2018-10-20 06,51.8279984
2018-10-20 07,73.05999899999999
2018-10-20 08,50.745
2018-10-20 09,29.167999200000004
2018-10-20 10,34.8859984
2018-10-20 11,24.51749925
2018-10-20 12,16.4159998
2018-10-20 13,14.680000000000001
2018-10-20 14,14.774999500000002
2018-10-20 15,25.6039994
2018-10-20 16,31.5399986
2018-10-20 17,49.62499825
2018-10-20 18,77.811998
2018-10-20 19,75.8224985
2018-10-20 20,69.98199919999999
2018-10-20 21,71.4279998
2018-10-20 22,75.28249725
2018-10-20 23,73.7239992
2018-10-21 00,74.40199880000002
2018-10-21 01,77.94499775
2018-10-21 02,87.4939988
2018-10-21 03,95.4059982
2018-10-21 04,101.9759994
2018-10-21 05,109.26999875000001
2018-10-21 06,103.9159974
2018-10-21 07,87.9199982
2018-10-21 08,108.5199985
2018-10-21 09,101.7859972
2018-10-21 10,80.37399739999998
2018-10-21 11,62.079999
2018-10-21 12,54.9679994
2018-10-21 13,53.227998400000004
2018-10-21 14,54.47249875
2018-10-21 15,63.9179976
2018-10-21 16,81.2839966
2018-10-21 17,84.25499925
2018-10-21 18,79.3279984
2018-10-21 19,63.836
2018-10-21 20,51.09499925000001
2018-10-21 21,43.4079986
2018-10-21 22,37.429998600000005
2018-10-21 23,36.687499249999995
2018-10-22 00,33.9979984
2018-10-22 01,37.265999799999996
2018-10-22 02,38.63999925
2018-10-22 03,35.1039986
2018-10-22 04,29.713999
2018-10-22 05,36.959999
2018-10-22 07,38.37499875
2018-10-22 08,30.911999200000004
2018-10-22 09,35.272498999999996
2018-10-22 10,20.6979992
2018-10-22 11,17.235999600000003
2018-10-22 12,20.1249995
2018-10-22 13,23.871999199999998
2018-10-22 14,26.723999400000004
2018-10-22 15,31.1419984
